timestamp,vessel_proximity
2023-03-12 14:30:00+00,"{565761000, 352002300}"
2023-03-12 15:30:00+00,"{565761000, 352002300}"
2023-03-12 16:30:00+00,"{565761000, 352002300}"
2023-03-12 21:30:00+00,"{563014650, 352002300}"
2023-03-12 22:30:00+00,"{563014650, 352002300}"
2023-03-12 23:30:00+00,"{563014650, 352002300}"
2023-03-13 00:30:00+00,"{563014650, 352002300}"
2023-03-13 01:12:24+00,"{563014650, 352002300}"
2023-03-13 02:30:00+00,"{563014650, 352002300}"
2023-03-13 05:30:00+00,"{564780000, 352002300, 563078430}"
2023-03-13 06:30:00+00,"{564780000, 352002300, 563078430}"
2023-03-13 07:30:00+00,"{564780000, 352002300, 563078430}"
2023-03-13 08:30:00+00,"{564780000, 352002300, 563078430}"
2023-03-13 09:30:00+00,"{564780000, 352002300}"
2023-03-13 21:30:00+00,"{352002300, 563078430}"
2023-03-13 22:30:00+00,"{352002300, 563078430}"
2023-03-14 03:30:00+00,"{538008064, 352656000}"
2023-03-14 04:30:00+00,"{352656000, 538008064}"
2023-03-14 06:30:00+00,"{538008064, 352656000}"
2023-03-14 07:30:00+00,"{352656000, 538008064}"
2023-03-14 09:30:00+00,"{352656000, 538008064}"
2023-03-14 10:30:00+00,"{352656000, 538008064}"
2023-03-14 12:30:00+00,"{538008064, 352656000}"
2023-03-14 13:30:00+00,"{538008064, 352656000}"
2023-03-14 14:30:00+00,"{352656000, 538008064}"
2023-03-14 15:30:00+00,"{352656000, 538008064}"
2023-03-14 16:30:00+00,"{538008064, 352656000}"
2023-03-14 20:30:00+00,"{889799564, 875832716}"
2023-03-14 22:30:00+00,"{232345740, 232006548}"
2023-03-14 23:30:00+00,"{232345740, 232006548}"
2023-03-15 00:30:00+00,"{232006548, 232345740, 889799564, 875832716}"
2023-03-15 01:30:00+00,"{889799564, 232345740, 875832716, 218719092, 232006548}"
2023-03-15 02:30:00+00,"{232345740, 889799564, 875832716, 218719092, 232006548}"
2023-03-15 03:30:00+00,"{875832716, 232345740, 889799564, 218719092, 232006548}"
2023-03-15 04:30:00+00,"{889799564, 232345740, 875832716, 218719092, 232006548}"
2023-03-15 05:30:00+00,"{875832716, 232345740, 889799564, 218719092, 232006548}"
2023-03-15 06:30:00+00,"{875832716, 232345740, 889799564, 218719092, 232006548}"
2023-03-15 07:30:00+00,"{875832716, 232345740, 889799564, 218719092, 232006548}"
2023-03-15 08:30:00+00,"{232345740, 889799564, 875832716, 218719092, 232006548}"
2023-03-15 09:30:00+00,"{232345740, 889799564, 875832716, 218719092, 232006548}"
2023-03-15 10:30:00+00,"{889799564, 232006548, 875832716}"
2023-03-15 17:30:00+00,"{875832716, 232006548}"
2023-03-16 01:30:00+00,"{889799564, 232006548}"
2023-03-16 06:30:00+00,"{232345740, 875832716}"
2023-03-16 07:30:00+00,"{875832716, 232345740}"
2023-03-16 13:30:00+00,"{875832716, 889799564}"
2023-03-16 23:30:00+00,"{232345740, 875832716}"
2023-03-17 01:30:00+00,"{232345740, 875832716, 232006548}"
2023-03-17 11:30:00+00,"{232345740, 875832716}"
2023-03-17 12:30:00+00,"{232345740, 232006548, 875832716}"
2023-03-17 13:30:00+00,"{232345740, 875832716}"
2023-03-17 14:30:00+00,"{232345740, 875832716}"
2023-03-17 15:30:00+00,"{232345740, 875832716}"
2023-03-17 16:30:00+00,"{875832716, 232345740, 232006548}"
2023-03-19 03:30:00+00,"{564780000, 565761000}"
2023-03-21 13:30:00+00,"{232006548, 232345740}"
2023-03-21 17:30:00+00,"{232345740, 232006548}"
2023-03-21 21:30:00+00,"{232345740, 218719092}"
2023-03-22 09:30:00+00,"{875832716, 232006548}"
2023-03-22 10:30:00+00,"{875832716, 232006548}"
2023-03-22 11:30:00+00,"{875832716, 232006548}"
2023-03-22 12:30:00+00,"{232006548, 875832716}"
2023-03-22 13:30:00+00,"{875832716, 232006548}"
2023-03-22 14:30:00+00,"{875832716, 232006548}"
2023-03-22 15:30:00+00,"{232006548, 232345740}"
2023-03-22 20:30:00+00,"{232006548, 218719092}"
2023-03-22 21:30:00+00,"{218719092, 232006548}"
2023-03-23 00:30:00+00,"{232006548, 875832716}"
2023-03-24 04:23:52+00,{518998309}
2023-03-24 04:24:06+00,{563014650}
2023-03-24 04:25:51+00,{563078430}
2023-03-24 04:31:57+00,{564780000}
2023-03-24 04:34:46+00,{352656000}
2023-03-24 04:44:17+00,{565761000}
2023-03-24 04:55:18+00,{565761000}
2023-03-24 04:56:09+00,{352656000}
2023-03-24 04:58:16+00,{564780000}
2023-03-24 04:58:36+00,{563014650}
2023-03-24 04:58:52+00,{563078430}
2023-03-24 04:59:46+00,{518998309}
